mes,grupo,modelo_id,ganancia_test
202107,final_training_julio,final_training_julio_seed1,414400000.0
202107,final_training_julio,final_training_julio_seed2,415200000.0
202107,final_training_julio,final_training_julio_seed3,412800000.0
202107,final_training_julio,final_training_julio_seed4,423200000.0
202107,final_training_julio,final_training_julio_seed5,420800000.0
202107,final_training_julio,final_training_julio_seed6,424000000.0
202107,final_training_julio,final_training_julio_seed7,425600000.0
202107,final_training_julio,final_training_julio_seed8,420000000.0
202107,final_training_julio,final_training_julio_seed9,432800000.0
202107,final_training_julio,final_training_julio_seed10,415200000.0
202107,GLOBAL,ensamble_global,426400000.0
202107,GRUPOS,ensamble_grupos,426400000.0
