numero_de_cliente,probabilidad,predict
796511591,0.9197707,1
1094942851,0.9185181,1
698013750,0.9015778,1
1382882160,0.8901026,1
345764726,0.88873154,1
1348083332,0.8879188,1
478620847,0.881653,1
994389411,0.881514,1
1458151719,0.878107,1
258808387,0.8740193,1
964454380,0.87158936,1
608525679,0.8711154,1
1358812005,0.8682503,1
658350101,0.86799836,1
1135779596,0.8651814,1
894415665,0.86066216,1
1301383539,0.8584964,1
985463211,0.85823876,1
1491222386,0.8576575,1
1152785170,0.8576381,1
306285953,0.8554428,1
826130848,0.855285,1
334778486,0.84989524,1
845134908,0.8495021,1
1469808379,0.8493793,1
823297125,0.8479007,1
1325996283,0.8478592,1
653678763,0.84661293,1
311680734,0.8462998,1
1198583004,0.84587246,1
864867586,0.8454144,1
1356773835,0.8439056,1
1112973262,0.84375685,1
1127869052,0.8429032,1
744058434,0.84257936,1
892102199,0.8421754,1
961886397,0.8413265,1
306652778,0.8404677,1
1327182802,0.8404105,1
1000849728,0.8391588,1
902482861,0.83838505,1
1463106088,0.8372636,1
755000054,0.8359945,1
1236309706,0.83594376,1
1216464499,0.83587307,1
1547273547,0.83421916,1
957095162,0.8330152,1
1250169634,0.83229,1
635099205,0.83095527,1
661551749,0.8300753,1
973594039,0.828965,1
638441239,0.82745296,1
777470119,0.8271863,1
1192098835,0.8268192,1
786630854,0.82626194,1
280104990,0.82549304,1
889464941,0.82451814,1
1235133605,0.8244813,1
1066094066,0.82398176,1
454549155,0.81915116,1
913911109,0.8187781,1
902266336,0.8166108,1
1211026763,0.8153608,1
721783084,0.8140016,1
1224868836,0.81379795,1
924261651,0.8133976,1
706621333,0.8129651,1
1488905496,0.81210274,1
781851942,0.81067634,1
1231095199,0.80951095,1
334023540,0.8087656,1
250700362,0.80861026,1
1044883015,0.80804795,1
1357857024,0.80754226,1
603728389,0.8065092,1
908082049,0.8057451,1
727279018,0.803917,1
628386052,0.80226296,1
839427641,0.8018454,1
842621263,0.80052686,1
688620743,0.79807687,1
690003736,0.7972724,1
1113865895,0.79693764,1
900939355,0.7969261,1
315375723,0.79667115,1
879366655,0.79641575,1
584174379,0.79541856,1
1323098521,0.7950626,1
1202349394,0.7930651,1
992045390,0.793025,1
1233370816,0.79274255,1
710322376,0.7920428,1
1223440770,0.79066867,1
1089552153,0.790548,1
254907010,0.78976446,1
465680374,0.7872386,1
597060957,0.7868669,1
438065957,0.78508496,1
687052369,0.7842427,1
