numero_de_cliente,probabilidad,predict
723138511,0.94919705,1
316227442,0.925325,1
496272333,0.917339,1
1383962726,0.9172761,1
571851534,0.8963684,1
1231946764,0.89471734,1
1338400811,0.8935124,1
1539063779,0.89241827,1
1306133792,0.89198685,1
1229634178,0.8917238,1
846843956,0.89096737,1
865887179,0.8905484,1
654900945,0.8879263,1
1334226315,0.8855151,1
464056578,0.88477916,1
307306785,0.8834094,1
1234932332,0.8822869,1
773599296,0.88059586,1
1231971341,0.87711287,1
1163420563,0.87695175,1
807744331,0.8750755,1
1333333623,0.8736155,1
551573576,0.8675218,1
1122340744,0.86743057,1
815304318,0.86478764,1
1318294749,0.86247915,1
1121225617,0.86156654,1
1172731376,0.8611029,1
1339359438,0.86073375,1
320161493,0.8588794,1
466558635,0.8588698,1
1306687893,0.8579509,1
461452284,0.8574585,1
491664360,0.8560116,1
524867394,0.85290504,1
1013856119,0.8518223,1
843005073,0.8505972,1
1437127499,0.8499348,1
1077360503,0.84903896,1
829599475,0.84811276,1
884035080,0.8471719,1
725911849,0.84705997,1
980971336,0.84670013,1
722148738,0.8466329,1
714722722,0.8464831,1
1449564990,0.84499854,1
1460471965,0.84498084,1
747688163,0.84490466,1
658715396,0.8441884,1
1444463310,0.84399235,1
530149356,0.8438305,1
308198538,0.8431874,1
587326728,0.84298635,1
1095641786,0.8418288,1
1453782142,0.8417285,1
779902312,0.8415738,1
745487516,0.8412425,1
915577570,0.8405764,1
878868856,0.83784354,1
939786077,0.8378051,1
573702274,0.8377372,1
1160629496,0.8366875,1
1070520236,0.8365354,1
598280662,0.8359703,1
458154443,0.83416265,1
1001930722,0.8340437,1
499191017,0.8317937,1
491982688,0.83135456,1
347905134,0.830772,1
680730105,0.8305462,1
1300750608,0.8304944,1
767524471,0.8303505,1
1053229221,0.82997745,1
499946835,0.8287196,1
824427709,0.82745326,1
985241289,0.826731,1
347512349,0.8256804,1
342839406,0.82527435,1
256207517,0.82502085,1
681999477,0.8247965,1
345650089,0.8243809,1
1018675288,0.8241769,1
1000309923,0.8224398,1
1237423372,0.82233405,1
249952495,0.8217082,1
1134705015,0.82156324,1
280482173,0.8213581,1
925584618,0.821043,1
517364443,0.81939894,1
1319687802,0.81893516,1
1246750521,0.8187267,1
1457165448,0.8172447,1
1327182802,0.81704676,1
1463740992,0.8167283,1
512269757,0.81628144,1
278188904,0.8162086,1
909584641,0.8161588,1
1499666757,0.81579643,1
1439243261,0.8155592,1
274479397,0.81518734,1
1352229749,0.8150233,1
876172743,0.81493527,1
839768428,0.8143913,1
802036842,0.8140521,1
432842338,0.8139824,1
1331896155,0.8139256,1
354916631,0.813731,1
1009181571,0.8133965,1
644676568,0.81293714,1
344207736,0.8127714,1
268237057,0.81266767,1
927310294,0.812648,1
899966586,0.8110438,1
1489729137,0.810898,1
507653834,0.80955005,1
441213780,0.8092306,1
271381677,0.8086306,1
268346083,0.80765706,1
306285953,0.807555,1
779846086,0.80751634,1
1037884421,0.8069757,1
865341029,0.8044412,1
483974859,0.80419326,1
806640869,0.8040278,1
960841355,0.80376107,1
465337547,0.8037503,1
738305514,0.80276966,1
1355024975,0.8026781,1
1079148886,0.80261606,1
664667412,0.8024036,1
891715981,0.8022798,1
732842475,0.80221045,1
515986779,0.8019464,1
1317452945,0.8015776,1
1017936754,0.8015417,1
1200808878,0.80085284,1
1164784957,0.8003567,1
1242583618,0.8003353,1
1060827347,0.8002398,1
1315620216,0.79996437,1
324040923,0.79921913,1
477938318,0.79919314,1
1381401378,0.798936,1
644104534,0.7989021,1
778935366,0.7984276,1
1332413133,0.7977607,1
1382659666,0.79632884,1
265494196,0.796187,1
463192323,0.7952156,1
706663117,0.79498,1
1469185944,0.79476774,1
688833690,0.79462296,1
260219459,0.7946184,1
1384446374,0.7940053,1
1224188569,0.7939821,1
1454897491,0.7935294,1
1200264555,0.79319364,1
1213881716,0.7929989,1
710224947,0.79254586,1
1246638651,0.7919547,1
807086233,0.7914753,1
1086859250,0.7906739,1
588866510,0.7905971,1
445265534,0.7904566,1
1326528214,0.79040617,1
844755547,0.7895572,1
315637466,0.7891189,1
1220554758,0.78894174,1
892732799,0.7887284,1
675626376,0.7883944,1
1107139752,0.7881885,1
676747489,0.78784394,1
1184610974,0.7875069,1
891444836,0.786969,1
750344678,0.78696537,1
658350101,0.7865962,1
297153297,0.78652936,1
889762116,0.78486174,1
681912551,0.784303,1
726549964,0.7842378,1
925069468,0.78403366,1
478607064,0.78357434,1
1232723444,0.78343964,1
875722639,0.78330374,1
1462627393,0.7829521,1
1453896933,0.781685,1
1029210331,0.7811264,1
478420001,0.7806278,1
560770554,0.780431,1
1158788236,0.78037333,1
340674857,0.7799196,1
676227735,0.7794621,1
603245758,0.7793832,1
677541223,0.7792721,1
1330071299,0.77908075,1
875428889,0.7790473,1
1316221430,0.7785542,1
1292054930,0.77828896,1
1330151812,0.7782292,1
999158844,0.7776608,1
1031705462,0.7774853,1
634031260,0.7774802,1
348824675,0.77720875,1
806120389,0.7770303,1
1053950692,0.7767494,1
1085813474,0.7765456,1
1090997571,0.7764451,1
472586423,0.7763978,1
341405363,0.77622896,1
625130517,0.7758964,1
1437792745,0.77573705,1
1353564680,0.7757185,1
620508762,0.7753683,1
1306133066,0.77520525,1
994305474,0.7749378,1
506637017,0.7739742,1
1231987823,0.7739346,1
861519361,0.7738488,1
1182371096,0.77319926,1
1114610918,0.7730699,1
990090867,0.7726527,1
817541131,0.772635,1
853474633,0.77261037,1
1389303459,0.77258295,1
1469960216,0.7724361,1
1236829015,0.7723729,1
